Branch of activity (CNAE 2009);Polluting substances;period;Total
h: Households;CO2 - Carbon dioxide (thousands tonnes);2019;84.9
h: Households;CH4 - Methane (tonnes);2019;17.5
h: Households;N2O - Nitrous oxide (tonnes);2019;19.8
h: Households;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;70.2
h: Households;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;39.6
h: Households;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;258.1
h: Households;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;23.5
h: Households;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;38.3
h: Households;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;37.3
h: Households;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;414.5
h: Households;NH3 - Ammonia (tonnes);2019;3.5
h: Households;CO - Carbon monoxide (tonnes);2019;27.0
h: Households;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;168.6
TOTAL POLLUTING SUBSTANCES;CO2 - Carbon dioxide (thousands tonnes);2019;1,411.4
TOTAL POLLUTING SUBSTANCES;CH4 - Methane (tonnes);2019;164.8
TOTAL POLLUTING SUBSTANCES;N2O - Nitrous oxide (tonnes);2019;137.1
TOTAL POLLUTING SUBSTANCES;PFC - Perfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;102.7
TOTAL POLLUTING SUBSTANCES;HFC - Hydrogenfluorocarbon composites (thousands of tonnes of equivalent CO2);2019;175.5
TOTAL POLLUTING SUBSTANCES;SF6 - Sulphur hexaflouride (thousands of tonnes of equivalent CO2);2019;119.3
TOTAL POLLUTING SUBSTANCES;PM2.5 - Particles with a diameter of  2.5 µm or less (tonnes);2019;294.0
TOTAL POLLUTING SUBSTANCES;PM10 - Particles with a diameter of 10 µm or less (tonnes);2019;41.5
TOTAL POLLUTING SUBSTANCES;NOx - Nitrogen oxides (tonnes of equivalent NO2);2019;343.3
TOTAL POLLUTING SUBSTANCES;SOx - Sulphur oxides (tonnes of equivalent SO2);2019;0.0
TOTAL POLLUTING SUBSTANCES;NH3 - Ammonia (tonnes);2019;479,906.6
TOTAL POLLUTING SUBSTANCES;CO - Carbon monoxide (tonnes);2019;104,950.9
TOTAL POLLUTING SUBSTANCES;NMVOC - Non-metallic volatile organic compounds (tonnes);2019;584,857.5
